coming_soon,is_free,discount_pct,platforms_win,platforms_mac,platforms_linux,metacritic_score,avg_playtime_forever,avg_playtime_2weeks,median_playtime,peak_ccu,required_age,dlc_count,achievements,publishing_model,genre_count,release_year,approval_rating,price_usd
False,False,80,True,True,True,77.0,195,0,85,4,0,1,23,Self-Published,1,2018,0.872445117335352,3.99
False,True,0,True,False,False,,290,0,182,32,0,43,20,Self-Published,1,2021,0.5439074200136147,59.99
False,False,75,True,False,False,,696,160,285,76,0,10,70,Publisher-Backed,1,2018,0.8914311863631164,4.99
False,False,0,True,False,False,79.0,2765,0,1674,283,0,6,38,Publisher-Backed,1,2018,0.8661094723041626,59.99
False,False,0,True,False,False,,0,0,0,0,0,0,20,Publisher-Backed,1,2018,0.9310344827586207,1.99
False,False,75,True,True,True,88.0,2119,0,1189,233,17,10,55,Publisher-Backed,1,2018,0.8803549733241772,9.99
False,False,0,True,True,True,84.0,1493,0,267,195,0,3,29,Publisher-Backed,1,2018,0.9397114861186717,14.99
False,False,0,True,True,True,69.0,486,0,90,1,0,0,30,Self-Published,1,2018,0.8975741239892183,14.99
False,False,70,True,False,False,81.0,736,0,282,106,0,1,0,Self-Published,1,2018,0.955744164898454,1.79
False,False,0,True,True,False,,119,0,200,7,0,1,21,Publisher-Backed,1,2018,0.9754509949786127,3.99
False,False,0,True,False,False,83.0,445,0,100,29,13,0,0,Self-Published,1,2018,0.8210652304009575,8.99
False,False,20,True,False,False,,663,156,611,29,0,1,116,Self-Published,1,2018,0.8474987858183585,3.99
False,False,0,True,True,False,44.0,227,0,212,4,0,0,11,Publisher-Backed,1,2018,0.7172932330827068,19.99
False,False,0,True,True,True,78.0,98,0,42,0,0,0,22,Self-Published,1,2018,0.8857994041708044,9.99
False,False,75,True,False,False,,701,378,485,161,0,3,38,Self-Published,1,2018,0.8568486828090606,7.49
False,False,0,True,False,False,,203,0,245,24,0,0,0,Publisher-Backed,1,2018,0.3090909090909091,1.99
False,False,0,True,False,False,61.0,264,0,174,27,16,0,71,Self-Published,1,2019,0.7756126365515206,9.99
False,False,0,True,False,False,,549,0,348,33,0,0,56,Publisher-Backed,1,2018,0.6216325978069581,19.99
False,False,0,True,False,False,,614,0,143,49,0,3,30,Publisher-Backed,1,2018,0.821891033471781,29.99
False,False,0,True,False,False,,442,0,142,11,0,11,1,Publisher-Backed,1,2018,0.2461272191377065,1.99
False,False,0,True,True,True,76.0,470,0,245,31,0,0,0,Publisher-Backed,1,2018,0.884247496637274,14.99
False,False,0,True,False,False,,295,0,29,15,0,0,0,Publisher-Backed,1,2018,0.878021978021978,6.99
False,False,0,True,False,True,,0,0,0,0,0,0,8,Self-Published,1,2018,0.95,4.99
False,False,0,True,True,False,,1130,477,467,1039,0,1,0,Publisher-Backed,1,2018,0.7933266216021861,39.99
False,False,90,True,True,False,,368,0,123,243,0,2,33,Publisher-Backed,1,2018,0.882536934119027,1.99
False,False,0,True,True,True,,116,0,14,66,0,0,0,Self-Published,1,2018,0.8699931334401465,4.99
False,False,0,True,False,False,93.0,711,26,317,99,0,2,43,Publisher-Backed,1,2018,0.9490670700958144,39.99
False,False,0,True,True,False,,96,0,57,0,0,0,11,Publisher-Backed,1,2018,0.8353115727002968,5.99
False,False,0,True,False,False,,1194,278,398,618,0,19,41,Publisher-Backed,1,2018,0.602846315110466,69.99
False,False,0,True,False,False,,1374,336,647,3743,0,8,27,Self-Published,1,2018,0.9339416930521537,39.99
False,False,0,True,False,False,85.0,476,31,193,77,17,0,0,Publisher-Backed,1,2018,0.7658727801864941,9.99
False,False,0,True,True,False,,529,64,184,672,0,1,39,Publisher-Backed,1,2018,0.9000410285609023,2.99
False,False,0,True,False,False,,2699,13,563,2818,0,0,0,Publisher-Backed,1,2010,0.9763661721820718,19.99
False,False,0,True,True,True,63.0,300,0,308,10,0,0,0,Self-Published,1,2018,0.8727329096264145,4.99
False,False,0,True,False,False,,311,0,318,2,0,1,52,Self-Published,1,2018,0.6455223880597015,1.99
False,False,0,True,False,False,,621,1,592,160,0,2,21,Publisher-Backed,1,2018,0.9737720420537354,14.99
False,False,0,True,False,False,,26016,0,33638,172,0,1,100,Self-Published,1,2018,0.4378698224852071,9.99
False,False,0,True,False,False,,0,0,0,0,0,0,64,Self-Published,1,2018,1.0,12.99
False,False,84,True,False,False,81.0,2024,0,707,93,0,4,63,Publisher-Backed,1,2018,0.8385087393082931,9.59
