coming_soon,price_usd,is_free,discount_pct,platforms_win,platforms_mac,platforms_linux,metacritic_score,avg_playtime_forever,avg_playtime_2weeks,median_playtime,peak_ccu,required_age,dlc_count,achievements,publishing_model,genre_count,release_year,approval_rating
False,39.99,False,0,True,False,False,78.0,1710,1,836,429,17,2,50,Publisher-Backed,1,2018,0.8470724045267023
False,15.99,False,0,True,False,False,,320,0,188,11,0,0,294,Publisher-Backed,1,2018,0.7736248236953456
False,14.99,False,0,True,True,False,,1674,0,1137,5,0,0,39,Self-Published,1,2018,0.907664316579486
False,49.99,False,0,True,False,False,91.0,2208,889,1819,27880,17,4,55,Publisher-Backed,1,2018,0.9566251170833634
False,4.99,False,0,True,False,False,,169,0,153,0,0,0,22,Self-Published,1,2018,0.7583289264939186
False,19.99,False,0,True,False,False,,299,0,371,0,0,2,24,Publisher-Backed,1,2018,0.7823228634039445
False,17.99,False,0,True,True,False,,3301,0,2009,28,0,3,251,Self-Published,1,2018,0.9283101682516459
False,24.99,False,0,True,False,False,,1341,0,565,69,0,1,133,Self-Published,1,2018,0.9866143137604855
False,5.99,False,70,True,False,False,,1529,0,1696,8,17,7,43,Self-Published,1,2018,0.7186761229314421
False,16.99,False,0,True,False,False,,806,0,292,62,0,1,19,Self-Published,1,2018,0.8787037037037037
False,2.99,False,0,True,True,True,,66,0,66,2,0,0,10,Self-Published,1,2018,0.7831715210355987
False,49.99,False,0,True,False,False,,15689,1277,2312,37066,17,3,13,Self-Published,1,2018,0.7678035197977
False,3.99,False,0,True,True,False,,78,0,40,5,0,1,28,Publisher-Backed,1,2018,0.9659038726465636
False,29.99,False,0,True,True,True,75.0,304,0,130,5,0,3,40,Self-Published,1,2018,0.7146681965959074
False,59.99,False,0,True,False,False,,2268,465,1510,1297,17,5,72,Publisher-Backed,1,2018,0.8091966081958991
False,11.24,False,55,True,False,False,,2132,0,2270,94,0,2,39,Publisher-Backed,1,2018,0.791161178509532
False,7.99,False,0,True,True,True,83.0,81,0,22,2,0,0,14,Publisher-Backed,1,2018,0.7741194486983155
False,19.99,False,0,True,False,False,81.0,365,0,279,8,0,3,39,Publisher-Backed,1,2018,0.9288713262533959
False,9.99,False,0,True,False,False,73.0,189,0,136,1,0,1,50,Publisher-Backed,1,2018,0.7942925089179548
False,2.69,False,85,True,False,False,,367,0,380,18,0,0,37,Publisher-Backed,1,2018,0.6621043627031651
False,14.99,False,0,True,True,False,82.0,205,0,124,33,0,5,25,Self-Published,1,2018,0.9795438273499029
False,19.99,False,0,True,False,False,,503,0,734,1,0,2,18,Self-Published,1,2018,0.6730937773882559
False,1.94,False,87,True,False,False,72.0,1228,33,467,92,17,5,67,Publisher-Backed,1,2017,0.7520774358506073
False,29.99,False,0,True,True,True,85.0,677,66,275,117,0,4,40,Publisher-Backed,1,2018,0.9541131791218104
False,9.79,False,72,True,True,False,82.0,1589,0,589,430,0,3,61,Publisher-Backed,1,2018,0.8320096108923447
False,9.99,False,0,True,True,False,,979,0,125,424,0,0,0,Publisher-Backed,1,2018,0.9114626000378095
False,19.99,False,0,True,False,False,82.0,475,0,560,19,0,2,12,Self-Published,1,2018,0.9316588785046729
False,19.99,False,0,True,True,True,64.0,311,0,168,4,0,10,107,Publisher-Backed,1,2018,0.7799856356236533
False,29.99,False,0,True,False,False,91.0,406,21,147,10,17,0,0,Publisher-Backed,1,2018,0.7995308006659604
False,12.99,False,0,True,False,False,,302,0,322,61,0,1,46,Publisher-Backed,1,2018,0.8949814126394052
False,24.99,False,0,True,False,False,76.0,274,0,152,18,0,2,42,Publisher-Backed,1,2018,0.8292924294903513
False,69.99,False,0,True,False,False,,1194,278,398,618,0,19,41,Publisher-Backed,1,2018,0.602846315110466
False,29.99,False,0,True,False,False,77.0,551,1,251,59,13,0,51,Publisher-Backed,1,2018,0.8680712315023827
False,69.99,False,0,True,False,False,89.0,3635,63,2029,655,17,19,74,Publisher-Backed,1,2018,0.9163612631156183
False,0.49,False,51,True,False,False,,236,0,238,0,0,3,15,Self-Published,1,2018,0.5267175572519084
False,5.39,False,80,True,True,True,75.0,610,182,275,214,0,5,58,Publisher-Backed,1,2018,0.9060974082884687
False,14.99,False,0,True,False,False,,548,60,356,545,0,0,11,Self-Published,1,2018,0.9388532825220856
False,7.49,False,75,True,False,False,,1001,0,736,274,0,2,50,Publisher-Backed,1,2018,0.9755654783690798
False,29.99,False,0,True,False,False,75.0,1687,462,695,827,17,2,77,Self-Published,1,2018,0.6638264543232146
False,14.99,False,0,True,True,False,,508,0,202,64,0,1,42,Publisher-Backed,1,2018,0.9145620634067706
False,0.99,False,0,True,False,False,,214,0,161,3,0,0,2975,Publisher-Backed,1,2018,0.8139737991266376
False,29.99,False,0,True,False,False,,1441,0,247,37,0,2,29,Self-Published,1,2018,0.6599595039230575
False,39.99,False,0,True,False,False,,5081,721,1141,7267,0,7,36,Self-Published,1,2018,0.7105878186968838
False,0.99,False,0,True,True,False,,191,0,212,0,0,0,5,Publisher-Backed,1,2018,0.4519230769230769
False,59.99,False,0,True,False,False,,2547,5,1943,398,0,0,33,Publisher-Backed,1,2018,0.9490201856490349
False,9.99,False,0,True,False,False,,300,0,67,37,17,0,0,Publisher-Backed,1,2018,0.9160146061554513
False,9.99,False,0,True,True,True,,0,0,0,0,0,0,0,Publisher-Backed,1,2018,0.75
False,19.99,False,0,True,False,True,80.0,948,0,301,13,0,2,0,Self-Published,1,2013,0.8731275533363595
False,59.99,True,0,True,False,False,,290,0,182,32,0,43,20,Self-Published,1,2021,0.5439074200136147
False,5.99,False,0,True,False,False,24.0,214,0,91,7,0,1,35,Publisher-Backed,1,2018,0.451095166163142
False,8.99,False,0,True,True,True,83.0,80,0,60,2,17,4,50,Self-Published,1,2018,0.9494252873563218
False,1.99,False,90,True,True,False,,1886,0,475,202,0,21,60,Publisher-Backed,1,2018,0.9135109955163914
False,9.99,False,0,True,True,True,82.0,307,3,275,31,0,3,11,Publisher-Backed,1,2018,0.9361337845908819
False,0.99,False,90,True,True,True,76.0,250,0,108,16,0,1,24,Self-Published,1,2018,0.9392312385600976
False,14.99,False,0,True,False,False,,15,0,15,0,0,0,5,Publisher-Backed,1,2018,0.9032258064516129
False,8.99,False,0,True,True,True,,384,0,198,32,0,2,82,Publisher-Backed,1,2018,0.8934217236104028
False,49.99,False,0,True,False,False,82.0,2206,180,676,1149,18,28,50,Publisher-Backed,1,2018,0.6970774410774411
False,29.99,False,0,True,False,False,81.0,1498,0,374,329,17,1,59,Self-Published,1,2018,0.884847705950392
False,14.99,False,0,True,False,False,,2986,128,667,1044,0,0,77,Self-Published,1,2018,0.9458498369696041
False,10.99,False,0,True,False,False,,574,0,562,10,0,4,89,Publisher-Backed,1,2018,0.9397389341446658
False,0.99,False,0,True,False,False,,225,0,216,0,0,0,3,Self-Published,1,2018,0.5167883211678832
False,29.99,False,0,True,False,False,,747,144,604,71,17,15,64,Publisher-Backed,1,2018,0.5736445560644113
False,9.99,False,0,True,False,False,,620,0,90,3,0,1,35,Publisher-Backed,1,2018,0.6251700680272109
False,59.99,False,0,True,True,False,96.0,7794,685,4392,54771,17,2,54,Self-Published,1,2018,0.9684827163707402
False,19.99,False,0,True,True,False,66.0,336,0,195,15,17,3,41,Publisher-Backed,1,2018,0.7022738842694722
False,5.99,False,60,True,False,False,,89,9,54,41,0,0,12,Self-Published,1,2018,0.8925879396984925
False,24.99,False,0,True,True,True,77.0,1376,0,602,53,0,0,0,Self-Published,1,2018,0.8723665371241562
False,29.99,False,0,True,False,False,74.0,1160,877,730,173,17,9,56,Publisher-Backed,1,2018,0.8012062401024294
False,19.99,False,0,True,True,True,79.0,252,0,119,1,0,1,29,Self-Published,1,2018,0.9412665985699693
False,9.99,False,0,True,False,False,79.0,1180,402,774,354,0,0,0,Self-Published,1,2018,0.8606410511646426
False,19.99,False,0,True,False,False,86.0,852,182,623,566,17,1,70,Self-Published,1,2018,0.8715312417289329
False,24.99,False,0,True,True,True,83.0,529,0,129,5,0,1,18,Publisher-Backed,1,2018,0.9164785553047404
False,4.99,False,0,True,False,False,,316,0,181,26,0,0,0,Self-Published,1,2009,0.9174535485836125
False,39.99,False,0,True,False,False,70.0,1001,0,440,52,0,3,64,Publisher-Backed,1,2018,0.7650194117259985
False,7.99,False,0,True,False,False,55.0,236,31,142,18,0,2,24,Publisher-Backed,1,2018,0.5838769230769231
False,7.99,False,80,True,False,False,81.0,477,0,462,145,17,1,35,Publisher-Backed,1,2019,0.9344405317090194
False,19.99,False,0,True,True,False,88.0,1349,74,444,2080,0,3,42,Self-Published,1,2018,0.9628495731527819
False,9.74,False,35,True,False,False,,1189,0,676,220,0,1,155,Publisher-Backed,1,2018,0.9016640908600798
False,19.99,False,0,True,False,False,77.0,302,0,47,1,0,2,35,Publisher-Backed,1,2018,0.8791808873720136
False,9.99,False,0,True,False,False,85.0,476,31,193,77,17,0,0,Publisher-Backed,1,2018,0.7658727801864941
False,39.99,False,0,True,False,False,,512,152,383,127,0,0,30,Self-Published,1,2018,0.9301457725947522
False,29.99,False,0,True,False,False,75.0,530,0,191,76,17,10,35,Self-Published,1,2018,0.8217573221757322
False,4.49,False,85,True,False,False,,645,0,268,43,0,4,71,Publisher-Backed,1,2018,0.7838332353133373
False,9.99,False,0,True,False,False,,647,0,152,3,0,2,36,Publisher-Backed,1,2018,0.5630630630630631
False,4.99,False,0,True,False,False,,113,0,88,1,0,0,0,Self-Published,1,2018,0.5668979187314173
False,14.99,False,0,True,True,True,,421,0,293,4,0,2,31,Self-Published,1,2018,0.6543428027728694
False,12.99,False,0,True,False,False,,322,0,160,60,0,1,48,Self-Published,1,2019,0.9006746322035276
False,9.99,False,0,True,True,True,61.0,637,0,226,3,0,0,31,Self-Published,1,2015,0.7997772208298524
False,1.99,False,0,True,False,False,,268,0,271,0,0,0,0,Publisher-Backed,1,2018,0.7725631768953068
False,19.99,False,0,True,False,False,70.0,481,0,103,12,17,3,47,Publisher-Backed,1,2018,0.6099318555651289
False,6.24,False,75,True,False,False,76.0,454,0,320,18,0,0,56,Publisher-Backed,1,2018,0.8653366583541147
False,19.99,False,0,True,True,True,,1258,0,1556,134,0,2,320,Publisher-Backed,1,2018,0.9440870856011875
False,4.99,False,75,True,False,False,,696,160,285,76,0,10,70,Publisher-Backed,1,2018,0.8914311863631164
False,59.99,False,0,True,False,False,88.0,2734,42,1583,6767,17,0,34,Publisher-Backed,1,2018,0.9528510337208365
False,9.99,False,0,True,False,False,88.0,543,0,203,10,17,0,0,Publisher-Backed,1,2010,0.0
False,19.99,False,0,True,False,False,,1303,0,288,145,0,2,34,Self-Published,1,2018,0.7307692307692307
False,6.24,False,75,True,False,False,,279,0,266,27,0,2,41,Self-Published,1,2018,0.911492948614038
False,4.99,False,0,True,False,True,,0,0,0,0,0,0,8,Self-Published,1,2018,0.95
False,0.71,False,88,True,True,True,,110,0,140,7,0,1,10,Publisher-Backed,1,2018,0.8813122005160339
False,49.99,False,0,True,False,False,,1190,0,1022,503,0,8,37,Publisher-Backed,1,2018,0.6283528864540803
False,14.99,False,0,True,False,True,,3241,1112,781,1806,0,0,230,Publisher-Backed,1,2018,0.9073071718538566
False,4.99,False,0,True,False,False,,563,0,175,690,0,0,8,Self-Published,1,2018,0.8981389578163772
False,19.99,False,0,True,True,False,65.0,278,0,159,197,0,0,0,Publisher-Backed,1,2018,0.756604630049932
False,44.99,False,0,True,True,False,84.0,1397,262,261,687,0,11,32,Self-Published,1,2018,0.9125330828993427
False,2.99,False,85,True,False,False,80.0,1234,0,345,115,0,0,48,Publisher-Backed,1,2018,0.9080851943755169
False,14.99,False,0,True,True,True,84.0,1493,0,267,195,0,3,29,Publisher-Backed,1,2018,0.9397114861186717
False,9.99,False,0,True,False,False,68.0,164,0,168,6,0,0,16,Publisher-Backed,1,2018,0.9404809888485826
False,3.74,False,85,True,False,False,,1683,1,131,241,0,0,58,Publisher-Backed,1,2018,0.743158905424868
False,6.99,False,0,True,True,False,75.0,259,0,276,2,0,1,17,Publisher-Backed,1,2018,0.8768077129084092
False,9.99,False,0,True,False,True,88.0,7414,407,366,6187,0,0,147,Self-Published,1,2018,0.9626414390289408
False,39.99,False,0,True,False,False,,3100,57,1789,996,0,27,54,Self-Published,1,2018,0.8982687139315403
False,8.99,False,0,True,False,False,,510,583,299,30,0,0,9,Self-Published,1,2018,0.985869631996068
False,9.99,False,0,True,True,False,,1037,0,848,38,0,3,62,Self-Published,1,2018,0.9320652173913043
False,17.99,False,40,True,False,False,82.0,919,0,413,47,0,0,43,Publisher-Backed,1,2018,0.905649874756471
False,7.49,False,75,True,False,False,,44,0,34,2,17,0,21,Publisher-Backed,1,2018,0.9052178075634275
False,29.99,False,0,True,False,False,81.0,2848,65,721,764,0,9,38,Self-Published,1,2018,0.803048128342246
False,1.99,False,0,True,False,False,,234,0,227,0,0,0,45,Publisher-Backed,1,2018,0.7234375
False,2.99,False,80,True,True,True,71.0,150,0,74,2,0,1,34,Self-Published,1,2018,0.9160063391442155
False,19.99,False,0,True,False,False,85.0,2528,0,594,7,0,0,25,Publisher-Backed,1,2018,0.7580364900086881
False,11.99,False,0,True,True,False,70.0,83,0,52,1,0,1,0,Self-Published,1,2018,0.8683431952662722
False,49.99,False,0,True,False,False,82.0,1734,42,381,1026,18,27,58,Publisher-Backed,1,2018,0.8810135395790405
False,24.99,False,0,True,True,False,73.0,807,161,326,36,0,3,26,Publisher-Backed,1,2018,0.829298418972332
False,9.99,False,0,True,False,False,61.0,264,0,174,27,16,0,71,Self-Published,1,2019,0.7756126365515206
False,22.49,False,25,True,False,False,,562,0,498,66,0,0,22,Self-Published,1,2018,0.7556440903054449
False,12.99,False,0,True,False,False,,0,0,0,0,0,0,0,Self-Published,1,2018,0.3076923076923077
False,14.99,False,75,True,False,False,62.0,648,16,203,57,17,4,70,Publisher-Backed,1,2018,0.7672394387333984
False,3.99,False,0,True,False,False,,0,0,0,0,0,0,0,Self-Published,1,2018,0.5882352941176471
False,34.99,False,0,True,True,False,72.0,684,0,181,99,0,6,88,Publisher-Backed,1,2018,0.8753514526710403
False,9.99,False,75,True,True,False,87.0,796,0,299,103,0,0,2,Self-Published,1,2018,0.8485504567777367
False,0.49,False,90,True,False,False,,338,0,303,67,0,1,500,Self-Published,1,2017,0.8329907502569374
False,34.99,False,0,True,True,True,87.0,12804,581,3241,19211,0,10,0,Self-Published,1,2018,0.979569345943558
False,1.99,False,0,True,False,False,,278,0,245,0,0,1,5,Publisher-Backed,1,2018,0.7355666429080542
False,2.99,False,90,True,False,False,,0,0,0,0,0,2,45,Publisher-Backed,1,2018,0.0
False,0.99,False,0,True,False,False,,553,0,47,14,0,1,0,Self-Published,1,2018,0.8799563477628228
False,49.99,False,0,True,True,False,81.0,1886,0,804,331,0,8,58,Self-Published,1,2018,0.867561059511524
False,17.99,False,0,True,True,True,,1164,0,127,45,0,1,31,Publisher-Backed,1,2018,0.8637814120462705
False,0.81,False,59,True,False,False,,101,0,32,1,0,3,43,Self-Published,1,2018,0.5758873929008568
False,14.99,False,0,True,True,True,76.0,223,0,220,9,0,0,14,Self-Published,1,2015,0.8283082077051926
False,1.99,False,0,True,False,False,,311,0,318,2,0,1,52,Self-Published,1,2018,0.6455223880597015
False,39.99,False,0,True,False,False,,686,289,396,140,0,2,23,Self-Published,1,2018,0.9800552775080302
False,29.99,False,0,True,False,False,,211,0,127,5,0,0,44,Publisher-Backed,1,2018,0.8218724109362054
False,14.99,False,0,True,False,False,78.0,756,0,110,66,0,0,0,Publisher-Backed,1,2018,0.916030534351145
False,29.99,False,0,True,False,False,,733,0,452,1,0,1,70,Publisher-Backed,1,2018,0.6916519694297472
False,3.99,False,80,True,False,False,,834,230,243,280,0,4,62,Publisher-Backed,1,2018,0.9112107385398981
False,9.99,False,0,True,False,False,,649,0,110,24,0,1,0,Self-Published,1,2018,0.5279710548288339
False,19.99,False,0,True,False,False,63.0,451,0,164,7,0,0,0,Publisher-Backed,1,2018,0.55783212161269
False,14.99,False,0,True,True,True,85.0,860,18,477,36,0,0,29,Self-Published,1,2018,0.9267738269199546
False,19.99,False,0,True,False,True,83.0,323,0,281,13,0,1,44,Publisher-Backed,1,2018,0.9341749323715058
False,10.99,False,0,True,False,False,,161,0,206,2,0,0,49,Publisher-Backed,1,2022,0.9335537190082644
False,0.49,False,51,True,True,True,,268,0,271,0,0,0,24,Publisher-Backed,1,2018,0.6696165191740413
False,4.99,False,0,True,False,False,,194,0,129,0,0,0,0,Publisher-Backed,1,2018,0.18118081180811807
False,29.99,False,0,True,True,True,,641,0,106,164,0,3,32,Publisher-Backed,1,2018,0.9116271299699298
False,29.99,False,0,True,False,False,89.0,941,0,407,22,17,0,0,Publisher-Backed,1,2018,0.9367165632225873
