coming_soon,price_usd,is_free,discount_pct,platforms_win,platforms_mac,platforms_linux,metacritic_score,recommendations,positive_reviews,negative_reviews,avg_playtime_forever,avg_playtime_2weeks,median_playtime,peak_ccu,required_age,dlc_count,achievements,publishing_model,genre_count,release_year
False,9.99,False,0,True,True,False,,27929,28928,2810,979,0,125,424,0,0,0,Publisher-Backed,1,2018
False,19.99,False,0,True,False,False,82.0,1643,1595,117,475,0,560,19,0,2,12,Self-Published,1,2018
False,19.99,False,0,True,True,True,64.0,2898,3258,919,311,0,168,4,0,10,107,Publisher-Backed,1,2018
False,29.99,False,0,True,False,False,91.0,11896,10565,2649,406,21,147,10,17,0,0,Publisher-Backed,1,2018
False,12.99,False,0,True,False,False,,7826,6741,791,302,0,322,61,0,1,46,Publisher-Backed,1,2018
False,24.99,False,0,True,False,False,76.0,3686,3352,690,274,0,152,18,0,2,42,Publisher-Backed,1,2018
False,29.99,False,0,True,False,False,77.0,3728,3461,526,551,1,251,59,13,0,51,Publisher-Backed,1,2018
False,0.49,False,51,True,False,False,,574,345,310,236,0,238,0,0,3,15,Self-Published,1,2018
False,5.39,False,80,True,True,True,75.0,26138,28948,3000,610,182,275,214,0,5,58,Publisher-Backed,1,2018
False,14.99,False,0,True,False,False,,7886,5420,353,548,60,356,545,0,0,11,Self-Published,1,2018
False,7.49,False,75,True,False,False,,59641,66636,1669,1001,0,736,274,0,2,50,Publisher-Backed,1,2018
False,29.99,False,0,True,False,False,75.0,34380,27969,14164,1687,462,695,827,17,2,77,Self-Published,1,2018
False,14.99,False,0,True,True,False,,3508,3404,318,508,0,202,64,0,1,42,Publisher-Backed,1,2018
False,0.99,False,0,True,False,False,,1272,932,213,214,0,161,3,0,0,2975,Publisher-Backed,1,2018
False,29.99,False,0,True,False,False,,23015,20860,10748,1441,0,247,37,0,2,29,Self-Published,1,2018
False,39.99,False,0,True,False,False,,102941,80268,32692,5081,721,1141,7267,0,7,36,Self-Published,1,2018
False,0.99,False,0,True,True,False,,0,94,114,191,0,212,0,0,0,5,Publisher-Backed,1,2018
False,9.99,False,0,True,False,False,,2271,1756,161,300,0,67,37,17,0,0,Publisher-Backed,1,2018
False,9.99,False,0,True,True,True,,0,12,4,0,0,0,0,0,0,0,Publisher-Backed,1,2018
False,19.99,False,0,True,False,True,80.0,3578,3847,559,948,0,301,13,0,2,0,Self-Published,1,2013
False,5.99,False,0,True,False,False,24.0,4633,2389,2907,214,0,91,7,0,1,35,Publisher-Backed,1,2018
False,8.99,False,0,True,True,True,83.0,708,826,44,80,0,60,2,17,4,50,Self-Published,1,2018
False,1.99,False,90,True,True,False,,47947,47065,4456,1886,0,475,202,0,21,60,Publisher-Backed,1,2018
False,9.99,False,0,True,True,True,82.0,16647,23511,1604,307,3,275,31,0,3,11,Publisher-Backed,1,2018
False,0.99,False,90,True,True,True,76.0,6366,7697,498,250,0,108,16,0,1,24,Self-Published,1,2018
False,14.99,False,0,True,False,False,,0,112,12,15,0,15,0,0,0,5,Publisher-Backed,1,2018
False,8.99,False,0,True,True,True,,3699,3504,418,384,0,198,32,0,2,82,Publisher-Backed,1,2018
False,29.99,False,0,True,False,False,81.0,36807,41310,5376,1498,0,374,329,17,1,59,Self-Published,1,2018
False,14.99,False,0,True,False,False,,103875,86445,4949,2986,128,667,1044,0,0,77,Self-Published,1,2018
False,10.99,False,0,True,False,False,,9175,9575,614,574,0,562,10,0,4,89,Publisher-Backed,1,2018
False,0.99,False,0,True,False,False,,0,354,331,225,0,216,0,0,0,3,Self-Published,1,2018
False,29.99,False,0,True,False,False,,5279,3883,2886,747,144,604,71,17,15,64,Publisher-Backed,1,2018
False,9.99,False,0,True,False,False,,8637,6433,3857,620,0,90,3,0,1,35,Publisher-Backed,1,2018
False,19.99,False,0,True,True,False,66.0,4808,8277,3509,336,0,195,15,17,3,41,Publisher-Backed,1,2018
False,5.99,False,60,True,False,False,,3261,2842,342,89,9,54,41,0,0,12,Self-Published,1,2018
False,24.99,False,0,True,True,True,77.0,3768,4265,624,1376,0,602,53,0,0,0,Self-Published,1,2018
False,29.99,False,0,True,False,False,74.0,30203,23779,5900,1160,877,730,173,17,9,56,Publisher-Backed,1,2018
False,19.99,False,0,True,True,True,79.0,1310,1843,115,252,0,119,1,0,1,29,Self-Published,1,2018
False,9.99,False,0,True,False,False,79.0,5140,4323,700,1180,402,774,354,0,0,0,Self-Published,1,2018
False,19.99,False,0,True,False,False,86.0,43844,42807,6310,852,182,623,566,17,1,70,Self-Published,1,2018
False,24.99,False,0,True,True,True,83.0,3670,3248,296,529,0,129,5,0,1,18,Publisher-Backed,1,2018
False,4.99,False,0,True,False,False,,2428,3012,271,316,0,181,26,0,0,0,Self-Published,1,2009
False,39.99,False,0,True,False,False,70.0,12035,11626,3571,1001,0,440,52,0,3,64,Publisher-Backed,1,2018
False,7.99,False,0,True,False,False,55.0,5561,4744,3381,236,31,142,18,0,2,24,Publisher-Backed,1,2018
False,7.99,False,80,True,False,False,81.0,58087,58909,4133,477,0,462,145,17,1,35,Publisher-Backed,1,2019
False,19.99,False,0,True,True,False,88.0,186169,179894,6941,1349,74,444,2080,0,3,42,Self-Published,1,2018
